User Id,Course Id,Cummulative Time,Age,Recommended Age,Age Difference,Start Time,Last Event,Act Days,Absence Days,Quiz Average,Lessons Completed,Quiz Average Timespent,Average Login 2W,Course_Difficulty ,Prerequisites,survival_percentage
18143,266,41940,12,12,0,1625418088,1626448445,10,2,50.94,10,382.69,10,0,0,0.65
20479,266,3600,12,12,0,1625341220,1627329805,3,20,94.31,10,61.43,3,0,0,0.428571429
20473,266,33060,12,12,0,1625275483,1642123983,12,183,96.19,8,74.25,12,0,0,1
20463,266,91020,12,12,0,1625168359,1628103351,21,13,53.76,10,119.57,21,0,0,0.65
20430,266,20280,12,12,0,1625145564,1626453792,10,5,79.12,10,65.08,10,0,0,0.65
20431,266,15720,12,12,0,1625107718,1626453916,7,9,65.94,10,74.26,7,0,0,0.45
20137,266,12360,12,12,0,1624924419,1625015528,3,0,90.19,10,52.81,3,0,0,0.428571429
20353,266,9180,12,12,0,1624918269,1627448249,3,26,96.97,3,183.01,3,0,0,0.428571429
20417,266,24420,12,12,0,1624901802,1626135207,6,8,98.89,10,327.16,6,0,0,0.65
20381,266,2400,12,12,0,1624646663,1624649845,1,0,90.91,1,129.28,1,0,0,0.142857143
20209,266,3720,12,12,0,1624568345,1626979725,2,26,72.73,1,178.08,2,0,0,0.285714286
20358,266,12960,12,12,0,1624564979,1627754322,15,22,73.85,10,81.43,15,0,0,0.45
20249,266,21000,12,12,0,1624471473,1626922681,12,16,71.06,10,52.5,12,0,0,0.65
20300,266,1380,12,12,0,1624422760,1625159472,2,7,100,1,111.18,2,0,0,0.285714286
20260,266,4260,12,12,0,1627058866,1629396522,4,23,96.3,2,107.69,4,0,0,0.45
20176,266,5280,12,12,0,1624310356,1624572191,3,0,78.79,2,109.06,3,0,0,0.428571429
20175,266,16980,12,12,0,1624295055,1624990175,4,4,76.47,10,152.29,4,0,0,0.571428571
20140,266,20460,12,12,0,1624023701,1631490789,17,69,70.23,6,137.33,17,0,0,0.65
20124,266,2460,12,12,0,1623943546,1626022237,3,21,72.73,1,224.55,3,0,0,0.428571429
20120,266,31440,12,12,0,1623888272,1628622947,7,48,85.7,10,62.36,7,0,0,1
20111,266,780,12,12,0,1623855751,1623935231,2,0,81.82,1,135.74,2,0,0,0.285714286
20102,266,9300,12,12,0,1632762759,1632762759,5,0,79.48,10,73.55,5,0,0,0.45
20092,266,10920,12,12,0,1623778127,1623807585,2,0,93.33,2,121.53,2,0,0,0.285714286
19363,266,59940,12,12,0,1623721815,1626486362,11,21,77.75,10,115.77,11,0,0,1
20034,266,46020,12,12,0,1623715432,1625680112,6,17,59.05,10,119.21,6,0,0,0.65
19930,266,80340,12,12,0,1623688322,1626809351,10,26,87.03,10,91.62,10,0,0,1
23611,1743,9300,12,12,0,1667678889,1669672461,7,16,72.86,5,145.83,7,0,1,0.45
23564,1743,2460,12,12,0,1663442843,1663445988,1,0,90,1,293.12,1,0,1,0.142857143
23487,1743,27420,12,12,0,1659317751,1661719044,10,18,88.27,10,118.83,10,0,1,1
23471,1743,43860,12,12,0,1659033888,1662692705,14,28,60.18,10,117.84,14,0,1,0.65
22066,1743,27480,12,12,0,1657905102,1658618015,7,1,73.74,5,456.74,7,0,1,1
23454,1743,5280,12,12,0,1656348659,1657078680,3,5,65,3,124.35,3,0,1,0.428571429
23436,1743,3780,12,12,0,1654196347,1669069863,3,169,90,1,178.38,3,0,1,0.428571429
23429,1743,42240,12,12,0,1654107453,1665240484,9,120,73.75,4,242.91,9,0,1,1
23419,1743,9900,12,12,0,1653148040,1660766531,7,81,70,2,202.39,7,0,1,0.45
